subject,class_year,section,theme,subtheme,lesson_link,homework_link,subtheme_number,umit_id,section_id,theme_id,subtheme_id,speaker_id,course_id,mgmonth_id,subtheme_umits,hw_umits,hw_ids,les_id
ang,3,Лексика,Лексика,"Употребление although, though, even though",,,,243,5,38,75,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",243,,,
ang,3,Лексика,Лексика,"Употребление in spite of, despite",,,,244,5,38,76,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",244,,,
ang,3,Лексика,Лексика,Chance and nature,,,,259,5,38,77,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",259,,,
ang,3,Лексика,Лексика,Friends and relations,,,,261,5,38,78,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",261,,,
ang,3,Лексика,Лексика,Body and lifestyle,,,,262,5,38,79,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",262,,,
ang,3,Лексика,Лексика,Inventions and discoveries,,,,265,5,38,80,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",265,,,
ang,3,Лексика,Лексика,Problems and solutions,,,,267,5,38,81,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",267,,,
ang,3,Чтение,Чтение,Понимание текста на примере задания №10,,,,301,6,40,82,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",301,,,
ang,3,Чтение,Чтение,Понимание текста на примере задания №11,,,,302,6,40,83,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",302,,,
ang,3,Чтение,Чтение,Понимание текста на примере задания №12-18,,,,303,6,40,84,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",303,,,
ang,3,Аудирование,Понимание основного содержания текста на примере задания №1,Понимание основного содержания текста на примере задания №1,,,,401,7,41,85,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",401,,,
ang,3,Аудирование,Понимание запрашиваемой информации в прослушанном тексте на примере задания №2,Понимание запрашиваемой информации в прослушанном тексте на примере задания №2,,,,402,7,42,86,15,,"3465,3507,6746,3549,3591,6787,3633,3675,6829,3717,3759,6872,3801,3843,6914,3889,3931,6956,3973,4015,7006,4057,4099,7040,4141,4183,7094",402,,,
